[18/06/2017 0:27:09] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 147725 -56517 -2780] 
[18/06/2017 0:27:44] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:30:42] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_delete], Params: [] 
[18/06/2017 0:32:27] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_spawn 8009], Params: [] 
[18/06/2017 0:37:04] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:39:45] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_spawn 40005], Params: [] 
[18/06/2017 0:51:22] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:54:35] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_spawn 40008], Params: [] 
[18/06/2017 0:55:09] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_spawn 40007], Params: [] 
[18/06/2017 0:58:18] --> GM: ddddd [268477825], Target: [.::[*~Buffe~r*]::.], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 1:02:46] --> GM: ddddd [268477825], Target: [.::[*~Buffe~r*]::.], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 1:08:54] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 1:14:31] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 1:32:57] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_spawn 979], Params: [] 
[18/06/2017 1:34:24] --> GM: ddddd [268477825], Target: [buffer], Action: [admin_gmspeed 4], Params: [] 
[18/06/2017 1:37:20] --> GM: ddddd [268477825], Target: [Klaus], Action: [admin_server_restart 2], Params: [] 
[18/06/2017 1:48:47] --> GM: ddddd [268477825], Target: [buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 1:57:31] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_spawn 50019], Params: [] 
