[16/07/2017 17:47:39] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[16/07/2017 17:47:41] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 17:47:55] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/others/giran.htm] 
[16/07/2017 17:47:57] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_move_to], Params: [ 122881 110792 -3727] 
[16/07/2017 17:48:05] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:48:10] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[16/07/2017 17:48:14] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:48:27] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_list_spawns], Params: [ 1] 
[16/07/2017 17:48:30] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:48:44] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_ride_wyvern], Params: [] 
[16/07/2017 17:49:10] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:49:12] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_ride_strider], Params: [] 
[16/07/2017 17:49:23] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:49:25] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_ride_wyvern], Params: [] 
[16/07/2017 17:54:08] --> GM: Nigga [268439890], Target: [Heart of Warding], Action: [admin_admin], Params: [] 
[16/07/2017 17:54:09] --> GM: Nigga [268439890], Target: [Heart of Warding], Action: [admin_move_to], Params: [] 
[16/07/2017 17:54:22] --> GM: Nigga [268439890], Target: [Heart of Warding], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 17:54:24] --> GM: Nigga [268439890], Target: [Heart of Warding], Action: [admin_help], Params: [ tele/raid.htm] 
[16/07/2017 17:54:25] --> GM: Nigga [268439890], Target: [Heart of Warding], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[16/07/2017 17:54:27] --> GM: Nigga [268439890], Target: [Heart of Warding], Action: [admin_move_to], Params: [ 213896 -115436 -1644] 
[16/07/2017 17:55:53] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[16/07/2017 18:00:43] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 18:00:51] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[16/07/2017 18:00:53] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 18:00:53] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_invul], Params: [] 
